2012-12-12 15:50:41,344 | DEBUG  | org.mule.context.notification.Configuration |  125 | Registered event type: class org.mule.context.notification.MuleContextNotification
2012-12-12 15:50:41,345 | DEBUG  | org.mule.context.notification.Configuration |  125 | Binding listener type 'interface org.mule.api.context.notification.MuleContextNotificationListener' to event type 'class org.mule.context.notification.MuleContextNotification'
2012-12-12 15:50:41,346 | DEBUG  | org.mule.context.notification.Configuration |  125 | Registered event type: class org.mule.context.notification.ModelNotification
2012-12-12 15:50:41,347 | DEBUG  | org.mule.context.notification.Configuration |  125 | Binding listener type 'interface org.mule.api.context.notification.ModelNotificationListener' to event type 'class org.mule.context.notification.ModelNotification'
2012-12-12 15:50:41,350 | DEBUG  | org.mule.context.notification.Configuration |  125 | Registered event type: class org.mule.context.notification.RoutingNotification
2012-12-12 15:50:41,351 | DEBUG  | org.mule.context.notification.Configuration |  125 | Binding listener type 'interface org.mule.api.context.notification.RoutingNotificationListener' to event type 'class org.mule.context.notification.RoutingNotification'
2012-12-12 15:50:41,352 | DEBUG  | org.mule.context.notification.Configuration |  125 | Registered event type: class org.mule.context.notification.ServiceNotification
2012-12-12 15:50:41,353 | DEBUG  | org.mule.context.notification.Configuration |  125 | Binding listener type 'interface org.mule.api.context.notification.ServiceNotificationListener' to event type 'class org.mule.context.notification.ServiceNotification'
2012-12-12 15:50:41,358 | DEBUG  | org.mule.context.notification.Configuration |  125 | Registered event type: class org.mule.context.notification.SecurityNotification
2012-12-12 15:50:41,358 | DEBUG  | org.mule.context.notification.Configuration |  125 | Binding listener type 'interface org.mule.api.context.notification.SecurityNotificationListener' to event type 'class org.mule.context.notification.SecurityNotification'
2012-12-12 15:50:41,359 | DEBUG  | org.mule.context.notification.Configuration |  125 | Registered event type: class org.mule.context.notification.ManagementNotification
2012-12-12 15:50:41,360 | DEBUG  | org.mule.context.notification.Configuration |  125 | Binding listener type 'interface org.mule.api.context.notification.ManagementNotificationListener' to event type 'class org.mule.context.notification.ManagementNotification'
2012-12-12 15:50:41,361 | DEBUG  | org.mule.context.notification.Configuration |  125 | Registered event type: class org.mule.context.notification.CustomNotification
2012-12-12 15:50:41,362 | DEBUG  | org.mule.context.notification.Configuration |  125 | Binding listener type 'interface org.mule.api.context.notification.CustomNotificationListener' to event type 'class org.mule.context.notification.CustomNotification'
2012-12-12 15:50:41,363 | DEBUG  | org.mule.context.notification.Configuration |  125 | Registered event type: class org.mule.context.notification.ConnectionNotification
2012-12-12 15:50:41,363 | DEBUG  | org.mule.context.notification.Configuration |  125 | Binding listener type 'interface org.mule.api.context.notification.ConnectionNotificationListener' to event type 'class org.mule.context.notification.ConnectionNotification'
2012-12-12 15:50:41,365 | DEBUG  | org.mule.context.notification.Configuration |  125 | Registered event type: class org.mule.context.notification.RegistryNotification
2012-12-12 15:50:41,365 | DEBUG  | org.mule.context.notification.Configuration |  125 | Binding listener type 'interface org.mule.api.context.notification.RegistryNotificationListener' to event type 'class org.mule.context.notification.RegistryNotification'
2012-12-12 15:50:41,366 | DEBUG  | org.mule.context.notification.Configuration |  125 | Registered event type: class org.mule.context.notification.ExceptionNotification
2012-12-12 15:50:41,367 | DEBUG  | org.mule.context.notification.Configuration |  125 | Binding listener type 'interface org.mule.api.context.notification.ExceptionNotificationListener' to event type 'class org.mule.context.notification.ExceptionNotification'
2012-12-12 15:50:41,368 | DEBUG  | org.mule.context.notification.Configuration |  125 | Registered event type: class org.mule.context.notification.TransactionNotification
2012-12-12 15:50:41,368 | DEBUG  | org.mule.context.notification.Configuration |  125 | Binding listener type 'interface org.mule.api.context.notification.TransactionNotificationListener' to event type 'class org.mule.context.notification.TransactionNotification'
2012-12-12 15:50:41,409 | INFO   | org.mule.lifecycle.AbstractLifecycleManager |  197 | Initialising RegistryBroker
